path,extension,size_bytes,size_mb,shape,dtype,read_error
SSL_models/nmr_mae_v2_20251023_161238_bs64_mr0.15_ps256_20251023_161238_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_20251208_051155_bs64_mr0.15_ps256_20251208_051155_best.pth,.pth,6098931,5.82,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_102551_bs64_mr0.15_ps256_20251208_102551_best.pth,.pth,6114665,5.83,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_104538_bs64_mr0.15_ps256_20251208_104538_best.pth,.pth,6114665,5.83,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_104538_reconstructions.png,.png,1211324,1.16,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_104538_training_curves.png,.png,261703,0.25,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114308_bs64_mr0.15_ps256_20251208_114308_best.pth,.pth,6114665,5.83,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114308_reconstructions.png,.png,1103836,1.05,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114308_training_curves.png,.png,283836,0.27,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114714_bs32_mr0.15_ps1024_20251208_114714_best.pth,.pth,8286764,7.90,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114714_reconstructions.png,.png,1099047,1.05,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_114714_training_curves.png,.png,284918,0.27,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_120346_bs32_mr0.15_ps1024_20251208_120346_best.pth,.pth,8286700,7.90,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_120346_reconstructions.png,.png,1141138,1.09,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_120346_training_curves.png,.png,271766,0.26,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_121755_bs32_mr0.15_ps1024_20251208_121755_best.pth,.pth,8286700,7.90,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_121755_reconstructions.png,.png,1174665,1.12,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_121755_training_curves.png,.png,281249,0.27,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_122646_bs32_mr0.15_ps1024_20251208_122646_best.pth,.pth,8286700,7.90,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_122646_reconstructions.png,.png,1135562,1.08,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_122646_training_curves.png,.png,291398,0.28,,,
SSL_models/nmr_mae_v2_WSZero_normalised_20251208_123850_bs32_mr0.15_ps1024_20251208_123850_best.pth,.pth,22649900,21.60,,,
