lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
243,7776,0.7119140625,0.5562169338397822,0.642569695512615,0.08442788327398235
244,7808,0.71484375,0.5561396989897733,0.6419463354552936,0.08095615435961344
245,7840,0.7177734375,0.5543064744568718,0.640977776770916,0.07488396450783372
246,7872,0.720703125,0.5532231407215583,0.6405760226017575,0.07156441875980517
247,7904,0.7236328125,0.5527582656838841,0.6399036680459842,0.07053629490414587
248,7936,0.7265625,0.5524050449548292,0.63971721977782,0.06978876610509205
249,7968,0.7294921875,0.551796047472341,0.6395251475513507,0.06981825273052684
250,8000,0.732421875,0.5507250632959778,0.639051160777824,0.0733895280232414
251,8032,0.7353515625,0.5493664730536493,0.638631011071433,0.07383975780257286
252,8064,0.73828125,0.547527012258785,0.6384798614336403,0.0675817135066969
253,8096,0.7412109375,0.546295327885345,0.6385396904414922,0.06741731595418261
254,8128,0.744140625,0.5451843859471776,0.6388274560615206,0.06205375922088335
255,8160,0.7470703125,0.5443888046635317,0.6388210770772069,0.0570273197025901
256,8192,0.75,0.5440507355045199,0.6380568804045371,0.05725994410431105
257,8224,0.7529296875,0.5431851994902532,0.6376971355862016,0.05916185951521555
258,8256,0.755859375,0.5424880950572606,0.6371086620872531,0.06129523097275887
259,8288,0.7587890625,0.5422896916173959,0.6368323872996811,0.06444563481858817
260,8320,0.76171875,0.5408601566790061,0.6374300218919897,0.0690585048425827
261,8352,0.7646484375,0.5393507372732042,0.637724697127946,0.07420980453106917
262,8384,0.767578125,0.5377922954940043,0.6370098694272487,0.07601166184963253
263,8416,0.7705078125,0.5355930087688555,0.6364181749488537,0.07604275711714215
264,8448,0.7734375,0.5338626846067183,0.6362970710257598,0.07606806272579689
265,8480,0.7763671875,0.532768754073641,0.6358661821366433,0.07621442563243457
266,8512,0.779296875,0.5311998233768382,0.6356039812165984,0.07323579443912005
267,8544,0.7822265625,0.5304067507186919,0.6352454433924869,0.0683324855014024
268,8576,0.78515625,0.5306118111994178,0.6350342311620938,0.06506446179033804
269,8608,0.7880859375,0.5301576457312609,0.6346819602671585,0.06280899767634329
270,8640,0.791015625,0.5304322298826224,0.6343348792505827,0.061860701727664766
271,8672,0.7939453125,0.5302965719034857,0.6341548307464259,0.06271962329811318
272,8704,0.796875,0.5305242205523002,0.6348077315099211,0.06532156188863669
273,8736,0.7998046875,0.5304109352352423,0.6347421628586081,0.06655646245508347
