row,votes,corr_to_median,pca_resid,iso_score
9328,1,0.05491706,0.27835292,0.5935618015437825
9334,1,0.044575747,0.27805534,0.594618614687505
334,1,0.040284507,0.2777879,0.4728442741550549
12,1,0.041021176,0.27712172,0.46263222735801907
1285,1,0.4588806,0.2764009,0.5581327724145143
9278,1,0.066880986,0.27579495,0.5829429459439852
9141,1,0.05761593,0.27394667,0.5889903859263523
9288,1,0.05688687,0.2734988,0.5738474890558514
8385,1,0.184208,0.2719112,0.5535865477794069
9342,1,0.04625425,0.2714652,0.5840829930591583
5951,1,0.4348057,0.2713125,0.5528588670444299
9235,1,0.04734762,0.2669475,0.597929722212594
9553,1,0.16836071,0.26657054,0.5520858675145531
94,1,0.026426816,0.26325724,0.4584138312145761
479,1,0.02177298,0.26299855,0.47327791056950574
8142,1,0.19706577,0.26281288,0.5551873875645256
9209,1,0.056840792,0.26136765,0.6002500965577838
528,1,0.033338476,0.26081,0.4416627602279034
1370,1,0.16042978,0.26010886,0.5510344572582367
358,1,0.023771135,0.25874218,0.4825723616078369
301,1,0.025999136,0.2571821,0.480313626890876
9289,1,0.06216444,0.2535179,0.5817043801109286
9643,1,0.17787805,0.2462813,0.564323551743911
67,1,0.028891262,0.2457692,0.46772263728403507
9642,1,0.21621636,0.24261217,0.5591409034197481
328,1,0.035913333,0.2419587,0.4573749011118403
164,1,0.019657861,0.24148388,0.4801529129144772
9339,1,0.056088127,0.24101734,0.5803877070732025
7,1,0.029468758,0.24099337,0.4312981486759814
7575,1,0.36114013,0.2365789,0.556717559697214
202,1,0.024242412,0.23635986,0.47473210218641093
1340,1,0.20743246,0.23621117,0.5622336190178102
1059,1,0.14652702,0.23541504,0.5663154965496705
3810,1,0.18368934,0.23438284,0.5494367535888316
9231,1,0.05369618,0.2338325,0.5863101902977693
7895,1,0.1881035,0.23355761,0.5551705038501392
360,1,0.024826039,0.23249573,0.45932524256981827
9203,1,0.21648692,0.23022895,0.5530184865518649
2047,1,0.17395133,0.22893319,0.5616978907916065
3194,1,0.17906117,0.22763316,0.5516607396681952
9219,1,0.2067614,0.22760457,0.5495406025675136
258,1,0.03200903,0.2273428,0.4800498816244459
65,1,0.031689346,0.22676088,0.454888786397243
47,1,0.033612058,0.22504085,0.4545829911511329
36,1,0.027987424,0.22413181,0.45594111818429034
268,1,0.028293226,0.22311907,0.4560136773113254
581,1,0.04125992,0.22175808,0.44298139683823506
421,1,0.019532401,0.22148666,0.4532730544666816
170,1,0.0151007185,0.2212886,0.4819235020539868
4950,1,0.15440553,0.21899424,0.5645575712333202
373,1,0.018544566,0.2173872,0.45844667606397316
7764,1,0.23764703,0.21677107,0.5564965411145733
307,1,0.03520186,0.21523568,0.473044033286972
235,1,0.027278442,0.21510522,0.47609425207581624
336,1,0.03825423,0.21440338,0.47745715224176105
501,1,0.036599692,0.21314815,0.45203689657987717
2195,1,0.2243116,0.21247225,0.556982786470753
11,1,0.033476997,0.21171936,0.4611123256391842
31,1,0.031082895,0.2108974,0.4598172662698618
139,1,0.02556096,0.21021779,0.4752877357213402
333,1,0.022778116,0.20817176,0.4817206501290938
8961,1,0.2065306,0.20627248,0.5527529273683586
411,1,0.16032636,0.20488049,0.5564454491109929
126,1,0.039225936,0.20403633,0.4504319770222938
8677,1,0.18496144,0.20062417,0.5513565696432078
359,1,0.037705757,0.19724831,0.4774618449097607
8823,1,0.20857127,0.19650136,0.5535329597300505
92,1,0.032442488,0.19623192,0.4588106343326451
394,1,0.026821923,0.19431524,0.46715131122607534
71,1,0.029769532,0.19175093,0.454747411623698
165,1,0.041259564,0.19128577,0.476937789888925
9624,1,0.17459486,0.19125237,0.5648435120667603
8957,1,0.2379386,0.19023634,0.5516957658523177
8425,1,0.20282492,0.1877288,0.5552972159428976
298,1,0.021534488,0.18745805,0.4587477066241785
8216,1,0.22586139,0.18643853,0.5558040234110883
231,1,0.023852829,0.1853169,0.47014237428721306
300,1,0.033480477,0.18494853,0.46883186626401785
83,1,0.02222021,0.18467209,0.4620198909097668
4924,1,0.19898802,0.184389,0.5527310196442419
408,1,0.024091955,0.18360838,0.4542509189393182
319,1,0.022617377,0.18351144,0.4576404599327377
8039,1,0.1783871,0.18328495,0.5620046538301102
6372,1,0.17707047,0.18180501,0.550400396895821
9441,1,0.18823572,0.18151315,0.5533105000312225
494,1,0.030777775,0.1814147,0.4475936601084037
8875,1,0.18881053,0.18138422,0.550419407589027
9329,1,0.052943252,0.17915565,0.5902562020801387
