dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
MTBLS563,113,classical,xgboost,-,24,10,0.5988095238095237,0.15217135107149332,0.048120806401102285
MTBLS563,113,masking,mask_metabolights,frozen,2,10,0.4159589186888037,0.04634140133663242,0.014654437818772978
MTBLS563,113,masking,mask_metabolights,frozen,5,10,0.43341593047475396,0.06259834542176848,0.0197953349290762
MTBLS563,113,masking,mask_metabolights,frozen,10,10,0.48729296066252586,0.04518629551131348,0.014289161284119332
MTBLS563,113,masking,mask_metabolights,frozen,15,10,0.5075203252032521,0.06597263794034612,0.020862379914113337
MTBLS563,113,masking,mask_metabolights,frozen,20,10,0.5112794612794612,0.081689065361454,0.025832350647256055
MTBLS563,113,masking,mask_metabolights,frozen,24,10,0.5599702380952379,0.16092702520234506,0.05088959367147295
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,2,10,0.414245423584504,0.054913807506705124,0.017365270671324026
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,5,10,0.4400452488687782,0.07351593666208539,0.023247780417286614
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,10,10,0.4716528640441684,0.05494204011575229,0.017374198606211838
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,15,10,0.5104166666666666,0.07843636652850128,0.024803756961785838
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,20,10,0.5317340067340066,0.0721171394830868,0.022805441910261237
MTBLS563,113,masking,mask_metabolights,unfreeze_last_1,24,10,0.5830357142857143,0.15909525224919133,0.050310336202647084
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,2,10,0.41438378033205614,0.0453496721652718,0.014340825518419876
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,5,10,0.43327228327228323,0.0662184746300905,0.02094012030131618
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,10,10,0.48725845410628016,0.0542508503913904,0.017155625223783083
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,15,10,0.5249538063562454,0.06387468319830977,0.02019894837283475
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,20,10,0.5237373737373737,0.06917032021250516,0.021873575835469835
MTBLS563,113,masking,mask_metabolights,unfreeze_last_2,24,10,0.5763392857142857,0.20106002989499977,0.06358076408897442
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,2,10,0.4154480630055343,0.04991723658489853,0.015785216210976432
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,5,10,0.44094663506428206,0.06565728141614174,0.020762655424965352
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,10,10,0.4858091787439614,0.0601087966540143,0.019008070483859323
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,15,10,0.5304831855136732,0.04102239733628772,0.012972421066309348
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,20,10,0.544107744107744,0.06653583545228203,0.021040478605139072
MTBLS563,113,masking,mask_metabolights,unfreeze_last_3,24,10,0.5736607142857142,0.18867896174788812,0.059665526567911076
BrC-T2D cancer,78,classical,logistic_regression,-,2,10,0.6146929824561405,0.11520907434477444,0.03643230820491582
BrC-T2D cancer,78,classical,logistic_regression,-,5,10,0.7189177489177491,0.08367493685550122,0.026460338353415127
BrC-T2D cancer,78,classical,logistic_regression,-,10,10,0.8200000000000001,0.0582422893876662,0.01841782906076787
BrC-T2D cancer,78,classical,logistic_regression,-,15,10,0.8542608695652174,0.052870073732616756,0.0167189853056109
BrC-T2D cancer,78,classical,logistic_regression,-,20,10,0.9097222222222223,0.02404734983929735,0.007604439718306367
BrC-T2D cancer,78,classical,logistic_regression,-,25,10,0.8679487179487181,0.08617868655595542,0.027252093527855088
BrC-T2D cancer,78,classical,logistic_regression,-,30,10,0.9262499999999999,0.07155271949176122,0.022626956637309105
BrC-T2D cancer,78,classical,logistic_regression,-,36,10,0.9,0.12909944487358058,0.040824829046386304
BrC-T2D cancer,78,classical,svm_rbf,-,2,10,0.541374269005848,0.07958046396748168,0.025165552339020198
BrC-T2D cancer,78,classical,svm_rbf,-,5,10,0.5916017316017316,0.05254396064086568,0.016615859291137614
BrC-T2D cancer,78,classical,svm_rbf,-,10,10,0.6327380952380952,0.09170573962831342,0.028999901173583358
BrC-T2D cancer,78,classical,svm_rbf,-,15,10,0.7241739130434783,0.04964194417322962,0.015698161106632986
BrC-T2D cancer,78,classical,svm_rbf,-,20,10,0.7461111111111112,0.08572894087270067,0.02710987145516372
BrC-T2D cancer,78,classical,svm_rbf,-,25,10,0.7087179487179486,0.0782151691279591,0.024733808201963657
BrC-T2D cancer,78,classical,svm_rbf,-,30,10,0.735,0.1076581523981244,0.03404449702635916
BrC-T2D cancer,78,classical,svm_rbf,-,36,10,0.7,0.1467234738471584,0.04639803635691684
BrC-T2D cancer,78,classical,xgboost,-,2,10,0.5,0.0,0.0
BrC-T2D cancer,78,classical,xgboost,-,5,10,0.6406060606060606,0.06469501887186332,0.02045836129026651
BrC-T2D cancer,78,classical,xgboost,-,10,10,0.7363095238095239,0.058507864377394005,0.018501811246479438
BrC-T2D cancer,78,classical,xgboost,-,15,10,0.7675652173913043,0.050075431443758055,0.01583524181778893
BrC-T2D cancer,78,classical,xgboost,-,20,10,0.7913888888888889,0.0603835761516445,0.01909496339054215
BrC-T2D cancer,78,classical,xgboost,-,25,10,0.7858974358974359,0.08678686518049494,0.027444416495632413
BrC-T2D cancer,78,classical,xgboost,-,30,10,0.7899999999999999,0.08815233027738593,0.027876214472796215
BrC-T2D cancer,78,classical,xgboost,-,36,10,0.8,0.15811388300841897,0.049999999999999996
BrC-T2D cancer,78,masking,mask_metabolights,frozen,2,10,0.6387426900584796,0.09773099908988278,0.03090525551278725
BrC-T2D cancer,78,masking,mask_metabolights,frozen,5,10,0.6996969696969696,0.09428798233691998,0.029816478016639277
BrC-T2D cancer,78,masking,mask_metabolights,frozen,10,10,0.7550000000000001,0.05642405045180431,0.017842851423995432
BrC-T2D cancer,78,masking,mask_metabolights,frozen,15,10,0.787304347826087,0.08233639331131812,0.026037053718721843
BrC-T2D cancer,78,masking,mask_metabolights,frozen,20,10,0.8136111111111111,0.04738443453802459,0.014984273877930615
BrC-T2D cancer,78,masking,mask_metabolights,frozen,25,10,0.7815384615384615,0.11124121245728276,0.03517756010437097
BrC-T2D cancer,78,masking,mask_metabolights,frozen,30,10,0.8125,0.11829224638815321,0.037407292812439055
BrC-T2D cancer,78,masking,mask_metabolights,frozen,36,10,0.85,0.17480147469502524,0.05527707983925666
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,2,10,0.6296783625730994,0.0953063635578242,0.030138518435079316
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,5,10,0.7092640692640693,0.09832870612265387,0.031094267072493006
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,10,10,0.7514285714285713,0.058922358178138665,0.01863288569511675
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,15,10,0.7891304347826087,0.08519397292340739,0.026940699735668094
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,20,10,0.8138888888888889,0.056655772373253144,0.017916128329552326
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,25,10,0.7853846153846156,0.11187149416870634,0.03537687268193571
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,30,10,0.8087500000000001,0.11859273211757586,0.037502314743374315
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_1,36,10,0.85,0.17480147469502524,0.05527707983925666
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_2,2,10,0.631578947368421,0.10562914679574598,0.033402869117483386
BrC-T2D cancer,78,masking,mask_metabolights,unfreeze_last_2,5,10,0.6933766233766233,0.0905641891811853,0.02863891122589251
