mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.4,2752,pca50_from_visible,0.9223335981369019,0.9827740788459778,0.8620122075080872,0.5067806839942932,
0.4,2752,nn_copy,0.8076269030570984,0.9693731069564819,0.6861429810523987,0.8880192041397095,3804.0
0.4,2949,corpus_mean,0.7023813128471375,0.7198243141174316,0.6359148025512695,0.526975154876709,
0.4,2949,linear_interp,0.8371293509619266,0.8824622786128075,0.8206845655659133,0.3674003337547749,
0.4,2949,pca50_from_visible,0.9297722578048706,0.9335329532623291,0.9066660404205322,0.48675066232681274,
0.4,2949,nn_copy,0.9035870432853699,0.9242103099822998,0.8671294450759888,0.955316424369812,1851.0
0.4,3145,corpus_mean,0.9081647992134094,0.7409955263137817,0.8001173138618469,0.8941320776939392,
0.4,3145,linear_interp,0.4331965849758634,0.9552275358354203,0.3155586358872577,0.3830883571092157,
0.4,3145,pca50_from_visible,0.7158194780349731,0.9664208889007568,0.6312904953956604,0.26429757475852966,
0.4,3145,nn_copy,0.9279252886772156,0.9755819439888,0.8523463010787964,0.9533112049102783,432.0
0.4,3342,corpus_mean,0.7418482303619385,0.7044519782066345,0.8686686754226685,0.46103477478027344,
0.4,3342,linear_interp,0.5776920288596039,0.7421190920740528,0.7401720777712296,0.1359877351809082,
