row_index,status,peak_index,peak_value,baseline,noise_sd,prominence,prominence_snr,dominance_ratio,left_index,right_index,suppression_width,cutoff
4786,suppressed,73175,1.0,0.005596014575467781,0.004204405670324388,0.9974516685836533,237.2396354671208,31.896405522268335,73118,73236,118,0.03923125993806288
4787,suppressed,73134,1.0,0.004204771846965475,0.003074943451580716,0.99789981901182,324.52623429508475,40.40597663887221,73070,73204,134,0.028804319459611205
4788,suppressed,73128,1.0,0.0073143384468254136,0.005663242001452466,0.9966935298534272,175.9934556209681,20.86699121222499,73076,73184,108,0.052620274458445145
4789,suppressed,73164,1.0,0.014959069678040188,0.010996703364205558,0.9928658148208045,90.28758728298503,7.381491989446523,73128,73203,75,0.10293269659168465
4790,suppressed,73120,1.0,0.008917196140394185,0.006047732485048429,0.9957244714902709,164.6442652600725,20.274661595941275,73066,73177,111,0.057299056020781614
4791,suppressed,73121,1.0,0.006542755337052793,0.004310591289532996,0.9965308765462902,231.18194456664742,29.110526082207127,73062,73186,124,0.04102748565331676
4792,suppressed,72451,1.0,0.01025792247553771,0.002805448969694302,0.9926359752207085,353.8242847913472,22.68981211348289,72374,72526,152,0.03270151423309213
4793,suppressed,73184,1.0,0.005715206035711377,0.004253319307592566,0.9973783240143843,234.49410963196962,31.633925670620613,73129,73244,115,0.03974176049645191
4794,suppressed,73167,1.0,0.005210903196915329,0.004359865729405015,0.9977874422995898,228.85737869632894,27.56737304994715,73112,73229,117,0.040089829032155445
4795,suppressed,73131,1.0,0.008007810562058616,0.005950577592817273,0.9963012636489323,167.42933742289682,19.80379635367816,73080,73187,107,0.055612431304596796
4796,suppressed,73148,1.0,0.005756456341635294,0.004311693511581424,0.9971831578178669,231.2741281678262,28.58345909832959,73089,73210,121,0.04025000443428669
4797,suppressed,73152,1.0,0.007273086115758,0.005828354488208269,0.9963243206788421,170.9443587713431,24.751799571868865,73103,73207,104,0.05389992202142415
4798,suppressed,73175,1.0,0.006372089614035014,0.004229018801468123,0.9966484620094105,235.66895982193776,30.08749874194429,73117,73234,117,0.04020424002578
4799,suppressed,72431,1.0,0.0081555602274304,0.0030384616194621436,0.9950377877898364,327.4807821880515,18.836169939880413,72362,72507,145,0.03246325318312755
4800,suppressed,73182,1.0,0.01038762462244542,0.007738683705280869,0.9947598514860215,128.54380529949796,12.170552086579452,73138,73230,92,0.07229709426469237
4801,suppressed,73193,1.0,0.005338701877456881,0.003842767887744709,0.9974383851137023,259.56248575270865,29.133589899688644,73134,73252,118,0.03608084497941455
4802,suppressed,72423,1.0,0.014927090060048456,0.004976595963084813,0.9887198016949434,198.67391466557225,10.699644202756918,72363,72484,121,0.05473985776472696
4803,suppressed,73195,1.0,0.00693322036737999,0.00579464240573133,0.9972138226623443,172.09238341886743,22.564987889816635,73144,73251,107,0.05329035961323063
4804,suppressed,73177,1.0,0.005426001882049355,0.004474212840312974,0.9976966591146492,222.9881980860034,29.21633095859529,73119,73242,123,0.041219704604553146
4805,suppressed,73202,1.0,0.006615173721353933,0.0050549766541703196,0.9968483128722185,197.20136828917416,28.050938179738214,73146,73260,114,0.04705498695471649
4806,suppressed,73187,1.0,0.007432457619258336,0.006375163626648623,0.9970449685903823,156.3951965754519,17.949699644208998,73137,73240,103,0.05843376663244732
